Date,Year,Month,Month txt,All,16-24,25-54,55-64,65+,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Women,Women 16-24,Women 25-54,Women 55-64,Women 65+,Women Less than HS,Women High school,Women Some college,Women Bachelor's degree,Women Advanced degree,Men,Men 16-24,Men 25-54,Men 55-64,Men 65+,Men Less than HS,Men High school,Men Some college,Men Bachelor's degree,Men Advanced degree,Black,Black 16-24,Black 25-54,Black 55-64,Black 65+,Black Less than HS,Black High school,Black Some college,Black Bachelor's degree,Black Advanced degree,Black Women,Black Women 16-24,Black Women 25-54,Black Women 55-64,Black Women 65+,Black Women Less than HS,Black Women High school,Black Women Some college,Black Women Bachelor's degree,Black Women Advanced degree,Black Men,Black Men 16-24,Black Men 25-54,Black Men 55-64,Black Men 65+,Black Men Less than HS,Black Men High school,Black Men Some college,Black Men Bachelor's degree,Black Men Advanced degree,Hispanic,Hispanic 16-24,Hispanic 25-54,Hispanic 55-64,Hispanic 65+,Hispanic Less than HS,Hispanic High school,Hispanic Some college,Hispanic Bachelor's degree,Hispanic Advanced degree,Hispanic Women,Hispanic Women 16-24,Hispanic Women 25-54,Hispanic Women 55-64,Hispanic Women 65+,Hispanic Women Less than HS,Hispanic Women High school,Hispanic Women Some college,Hispanic Women Bachelor's degree,Hispanic Women Advanced degree,Hispanic Men,Hispanic Men 16-24,Hispanic Men 25-54,Hispanic Men 55-64,Hispanic Men 65+,Hispanic Men Less than HS,Hispanic Men High school,Hispanic Men Some college,Hispanic Men Bachelor's degree,Hispanic Men Advanced degree,White,White 16-24,White 25-54,White 55-64,White 65+,White Less than HS,White High school,White Some college,White Bachelor's degree,White Advanced degree,White Women,White Women 16-24,White Women 25-54,White Women 55-64,White Women 65+,White Women Less than HS,White Women High school,White Women Some college,White Women Bachelor's degree,White Women Advanced degree,White Men,White Men 16-24,White Men 25-54,White Men 55-64,White Men 65+,White Men Less than HS,White Men High school,White Men Some college,White Men Bachelor's degree,White Men Advanced degree
Apr-87,1987,4,Apr,0.07,0.13,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.03,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.14,0.29,0.11,0.06,0.04,0.21,0.14,0.12,0.05,0.03,0.14,0.30,0.11,0.05,0.05,0.22,0.15,0.13,0.06,0.02,0.14,0.28,0.11,0.08,0.04,0.21,0.14,0.12,0.05,0.04,0.10,0.16,0.08,0.07,0.12,0.14,0.09,0.07,0.04,0.02,0.10,0.17,0.08,0.06,0.12,0.15,0.09,0.06,0.03,0.02,0.10,0.16,0.09,0.07,0.12,0.13,0.09,0.08,0.05,0.02,0.06,0.11,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.03,0.02
Mar-87,1987,3,Mar,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.15,0.29,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.15,0.30,0.11,0.05,0.05,0.22,0.15,0.13,0.06,0.02,0.14,0.28,0.11,0.08,0.05,0.21,0.14,0.12,0.05,0.04,0.10,0.16,0.09,0.07,0.12,0.14,0.09,0.07,0.04,0.02,0.10,0.17,0.08,0.06,0.13,0.16,0.09,0.06,0.03,0.02,0.10,0.16,0.09,0.08,0.12,0.13,0.09,0.08,0.05,0.02,0.06,0.11,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.03,0.02
Feb-87,1987,2,Feb,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.15,0.29,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.15,0.30,0.11,0.05,0.05,0.22,0.15,0.13,0.05,0.02,0.15,0.28,0.11,0.08,0.04,0.21,0.14,0.12,0.05,0.04,0.10,0.16,0.09,0.07,0.13,0.14,0.09,0.07,0.04,0.02,0.10,0.17,0.09,0.06,0.14,0.16,0.10,0.07,0.03,0.02,0.10,0.16,0.09,0.08,0.12,0.13,0.09,0.08,0.05,0.02,0.06,0.11,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.03,0.02
Jan-87,1987,1,Jan,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.15,0.29,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.15,0.30,0.11,0.05,0.05,0.22,0.15,0.12,0.05,0.02,0.15,0.28,0.11,0.08,0.04,0.21,0.14,0.12,0.05,0.04,0.11,0.16,0.09,0.07,0.12,0.14,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.06,0.13,0.16,0.10,0.07,0.03,0.02,0.11,0.16,0.09,0.08,0.11,0.14,0.09,0.08,0.05,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.03,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02
Dec-86,1986,12,Dec,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.15,0.29,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.14,0.29,0.11,0.05,0.05,0.22,0.15,0.12,0.05,0.02,0.15,0.29,0.11,0.08,0.04,0.21,0.15,0.12,0.05,0.04,0.11,0.16,0.09,0.07,0.11,0.14,0.09,0.08,0.04,0.02,0.11,0.17,0.09,0.06,0.12,0.16,0.10,0.07,0.03,0.02,0.11,0.16,0.09,0.08,0.10,0.14,0.09,0.08,0.05,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02
Nov-86,1986,11,Nov,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.06,0.03,0.02,0.15,0.29,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.15,0.29,0.11,0.05,0.05,0.22,0.15,0.12,0.05,0.02,0.15,0.29,0.11,0.07,0.05,0.21,0.15,0.12,0.05,0.04,0.11,0.16,0.09,0.07,0.11,0.14,0.09,0.08,0.04,0.02,0.11,0.17,0.09,0.06,0.13,0.16,0.10,0.07,0.03,0.02,0.11,0.16,0.09,0.08,0.11,0.14,0.09,0.08,0.04,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Oct-86,1986,10,Oct,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.29,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.15,0.30,0.11,0.05,0.05,0.22,0.15,0.12,0.06,0.02,0.15,0.29,0.11,0.07,0.05,0.21,0.15,0.12,0.05,0.04,0.11,0.16,0.09,0.08,0.11,0.14,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.07,0.11,0.16,0.10,0.07,0.04,0.02,0.11,0.16,0.09,0.08,0.11,0.14,0.09,0.08,0.05,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Sep-86,1986,9,Sep,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.06,0.05,0.21,0.15,0.12,0.05,0.03,0.15,0.30,0.11,0.05,0.05,0.22,0.16,0.12,0.06,0.02,0.15,0.29,0.12,0.07,0.05,0.21,0.15,0.12,0.05,0.04,0.11,0.17,0.09,0.07,0.11,0.15,0.10,0.08,0.04,0.03,0.11,0.17,0.09,0.07,0.12,0.16,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.08,0.10,0.14,0.09,0.08,0.05,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Aug-86,1986,8,Aug,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.06,0.05,0.21,0.15,0.12,0.06,0.03,0.15,0.30,0.11,0.05,0.05,0.22,0.15,0.12,0.06,0.02,0.15,0.29,0.12,0.07,0.06,0.21,0.15,0.12,0.05,0.04,0.11,0.17,0.09,0.07,0.10,0.14,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.07,0.11,0.16,0.10,0.08,0.04,0.02,0.10,0.17,0.09,0.08,0.09,0.14,0.09,0.07,0.05,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Jul-86,1986,7,Jul,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.06,0.06,0.21,0.15,0.12,0.05,0.03,0.15,0.30,0.11,0.05,0.06,0.21,0.16,0.12,0.06,0.02,0.15,0.29,0.12,0.07,0.06,0.21,0.15,0.12,0.05,0.03,0.11,0.17,0.09,0.08,0.10,0.14,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.07,0.10,0.16,0.10,0.08,0.04,0.01,0.10,0.17,0.08,0.08,0.10,0.14,0.09,0.07,0.05,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Jun-86,1986,6,Jun,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.06,0.06,0.21,0.16,0.12,0.05,0.03,0.15,0.31,0.11,0.05,0.06,0.22,0.16,0.12,0.05,0.02,0.15,0.29,0.12,0.07,0.07,0.21,0.15,0.12,0.05,0.03,0.11,0.17,0.09,0.08,0.09,0.14,0.09,0.08,0.04,0.02,0.11,0.17,0.09,0.08,0.09,0.16,0.10,0.08,0.04,0.02,0.10,0.17,0.08,0.08,0.09,0.14,0.09,0.07,0.04,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
May-86,1986,5,May,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.06,0.06,0.21,0.15,0.12,0.05,0.02,0.15,0.30,0.11,0.05,0.06,0.21,0.16,0.12,0.05,0.02,0.15,0.29,0.11,0.07,0.07,0.21,0.15,0.12,0.05,0.03,0.11,0.17,0.09,0.08,0.09,0.14,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.08,0.09,0.16,0.10,0.08,0.04,0.02,0.10,0.17,0.08,0.08,0.08,0.14,0.09,0.07,0.05,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Apr-86,1986,4,Apr,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.07,0.07,0.21,0.15,0.12,0.05,0.02,0.15,0.31,0.11,0.06,0.06,0.22,0.16,0.12,0.05,0.02,0.15,0.29,0.11,0.08,0.07,0.21,0.15,0.12,0.05,0.03,0.11,0.17,0.09,0.08,0.08,0.14,0.10,0.08,0.04,0.02,0.11,0.17,0.09,0.09,0.08,0.16,0.10,0.08,0.04,0.02,0.10,0.17,0.08,0.08,0.08,0.14,0.09,0.07,0.04,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.02,0.11,0.06,0.05,0.02,0.02
Mar-86,1986,3,Mar,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.07,0.07,0.21,0.16,0.12,0.05,0.03,0.15,0.31,0.11,0.06,0.06,0.21,0.16,0.12,0.05,0.02,0.15,0.29,0.11,0.08,0.08,0.21,0.15,0.12,0.06,0.03,0.11,0.17,0.09,0.08,0.08,0.14,0.10,0.08,0.04,0.03,0.11,0.17,0.10,0.08,0.07,0.16,0.10,0.08,0.04,0.03,0.10,0.17,0.08,0.08,0.08,0.13,0.10,0.07,0.04,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.05,0.02,0.02
Feb-86,1986,2,Feb,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.11,0.07,0.07,0.21,0.16,0.12,0.06,0.03,0.15,0.30,0.11,0.06,0.06,0.21,0.16,0.13,0.05,0.02,0.15,0.29,0.12,0.08,0.08,0.21,0.15,0.12,0.06,0.03,0.11,0.17,0.09,0.08,0.07,0.14,0.10,0.07,0.04,0.03,0.11,0.17,0.09,0.09,0.05,0.16,0.10,0.08,0.05,0.03,0.10,0.17,0.08,0.08,0.08,0.13,0.10,0.07,0.04,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.11,0.06,0.04,0.03,0.02
Jan-86,1986,1,Jan,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.12,0.07,0.07,0.21,0.16,0.12,0.06,0.03,0.15,0.30,0.11,0.06,0.05,0.22,0.16,0.13,0.05,0.02,0.15,0.29,0.12,0.08,0.08,0.21,0.15,0.12,0.06,0.03,0.11,0.17,0.09,0.08,0.08,0.14,0.10,0.07,0.04,0.03,0.11,0.16,0.09,0.08,0.06,0.16,0.10,0.07,0.04,0.03,0.10,0.17,0.08,0.07,0.09,0.13,0.10,0.07,0.04,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.02,0.11,0.06,0.04,0.03,0.02
Dec-85,1985,12,Dec,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.12,0.07,0.07,0.21,0.16,0.12,0.06,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.02,0.15,0.30,0.12,0.08,0.09,0.21,0.15,0.12,0.06,0.03,0.11,0.16,0.09,0.08,0.08,0.14,0.10,0.07,0.04,0.03,0.11,0.16,0.09,0.09,0.06,0.16,0.09,0.08,0.05,0.04,0.10,0.17,0.08,0.07,0.09,0.13,0.10,0.07,0.04,0.02,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.12,0.05,0.04,0.02,0.11,0.06,0.05,0.03,0.02
Nov-85,1985,11,Nov,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.12,0.07,0.07,0.22,0.16,0.12,0.06,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.02,0.15,0.30,0.12,0.08,0.09,0.22,0.15,0.12,0.06,0.03,0.11,0.17,0.09,0.08,0.06,0.14,0.10,0.07,0.04,0.03,0.11,0.16,0.10,0.09,0.04,0.16,0.09,0.08,0.05,0.04,0.10,0.17,0.08,0.07,0.08,0.13,0.10,0.07,0.04,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.12,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02
Oct-85,1985,10,Oct,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.12,0.07,0.07,0.22,0.16,0.12,0.06,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.02,0.15,0.30,0.11,0.08,0.09,0.21,0.15,0.12,0.06,0.03,0.11,0.16,0.09,0.08,0.06,0.14,0.10,0.07,0.04,0.03,0.11,0.16,0.10,0.08,0.03,0.16,0.09,0.07,0.05,0.04,0.10,0.17,0.08,0.07,0.07,0.13,0.10,0.07,0.04,0.03,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.12,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02
Sep-85,1985,9,Sep,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.02,0.07,0.14,0.06,0.04,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.12,0.08,0.07,0.22,0.16,0.12,0.06,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.03,0.15,0.30,0.11,0.09,0.09,0.22,0.15,0.12,0.06,0.03,0.11,0.16,0.09,0.08,0.06,0.14,0.10,0.07,0.04,0.04,0.11,0.16,0.10,0.09,0.02,0.16,0.09,0.08,0.05,0.04,0.10,0.17,0.08,0.07,0.08,0.13,0.10,0.07,0.04,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.12,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02
Aug-85,1985,8,Aug,0.07,0.14,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.04,0.02,0.07,0.14,0.06,0.05,0.03,0.13,0.07,0.05,0.03,0.02,0.15,0.30,0.12,0.07,0.07,0.22,0.16,0.12,0.05,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.03,0.15,0.30,0.11,0.09,0.09,0.22,0.15,0.11,0.06,0.03,0.11,0.16,0.09,0.08,0.06,0.14,0.10,0.07,0.04,0.04,0.11,0.15,0.10,0.09,0.02,0.16,0.09,0.07,0.05,0.05,0.10,0.16,0.08,0.07,0.08,0.13,0.10,0.07,0.03,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.12,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02
Jul-85,1985,7,Jul,0.07,0.14,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.03,0.03,0.07,0.14,0.06,0.05,0.03,0.13,0.08,0.05,0.03,0.02,0.15,0.30,0.12,0.07,0.07,0.22,0.16,0.12,0.06,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.03,0.16,0.30,0.11,0.09,0.09,0.22,0.15,0.11,0.06,0.03,0.11,0.16,0.09,0.08,0.06,0.14,0.10,0.07,0.04,0.04,0.11,0.15,0.10,0.09,0.03,0.16,0.09,0.08,0.05,0.04,0.10,0.17,0.08,0.08,0.08,0.13,0.10,0.07,0.03,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.12,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02
Jun-85,1985,6,Jun,0.07,0.14,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.04,0.03,0.07,0.14,0.06,0.05,0.03,0.13,0.07,0.05,0.03,0.02,0.16,0.30,0.12,0.07,0.07,0.22,0.16,0.13,0.06,0.03,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.03,0.16,0.31,0.11,0.09,0.09,0.22,0.16,0.12,0.06,0.04,0.11,0.16,0.09,0.08,0.07,0.14,0.09,0.07,0.04,0.04,0.11,0.15,0.10,0.09,0.03,0.16,0.09,0.08,0.05,0.04,0.10,0.16,0.09,0.08,0.08,0.13,0.10,0.07,0.03,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.10,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.03,0.06,0.12,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02
May-85,1985,5,May,0.07,0.14,0.06,0.04,0.03,0.14,0.07,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.04,0.03,0.07,0.14,0.06,0.05,0.03,0.13,0.07,0.05,0.03,0.02,0.16,0.30,0.12,0.07,0.07,0.22,0.16,0.13,0.06,0.04,0.15,0.30,0.12,0.06,0.05,0.22,0.16,0.13,0.05,0.03,0.16,0.31,0.12,0.08,0.09,0.22,0.16,0.12,0.06,0.04,0.11,0.16,0.09,0.08,0.06,0.14,0.09,0.07,0.04,0.04,0.11,0.15,0.10,0.09,0.02,0.16,0.09,0.08,0.06,0.04,0.10,0.16,0.08,0.08,0.08,0.13,0.10,0.07,0.03,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.03,0.06,0.12,0.05,0.04,0.02,0.12,0.06,0.05,0.03,0.02
Apr-85,1985,4,Apr,0.07,0.14,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.04,0.03,0.07,0.14,0.06,0.05,0.03,0.13,0.08,0.05,0.03,0.02,0.16,0.30,0.12,0.07,0.07,0.22,0.16,0.13,0.06,0.03,0.15,0.30,0.12,0.06,0.04,0.22,0.16,0.13,0.05,0.03,0.16,0.30,0.12,0.08,0.09,0.22,0.16,0.12,0.07,0.04,0.11,0.16,0.09,0.08,0.06,0.14,0.09,0.07,0.05,0.04,0.11,0.15,0.10,0.08,0.02,0.15,0.09,0.08,0.06,0.03,0.10,0.16,0.08,0.09,0.09,0.13,0.10,0.07,0.03,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.03,0.06,0.12,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02
Mar-85,1985,3,Mar,0.07,0.14,0.06,0.04,0.03,0.14,0.08,0.06,0.03,0.02,0.08,0.13,0.06,0.04,0.03,0.15,0.08,0.06,0.04,0.03,0.07,0.14,0.06,0.05,0.03,0.14,0.08,0.06,0.03,0.02,0.16,0.30,0.12,0.07,0.06,0.22,0.16,0.13,0.06,0.04,0.16,0.30,0.12,0.06,0.04,0.22,0.16,0.14,0.05,0.03,0.16,0.31,0.12,0.08,0.08,0.22,0.16,0.12,0.06,0.04,0.11,0.16,0.09,0.09,0.07,0.14,0.09,0.08,0.05,0.04,0.11,0.15,0.10,0.08,0.02,0.15,0.09,0.08,0.06,0.03,0.11,0.17,0.08,0.09,0.09,0.13,0.09,0.07,0.03,0.04,0.06,0.11,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02,0.06,0.11,0.05,0.04,0.03,0.13,0.06,0.05,0.03,0.03,0.06,0.12,0.05,0.04,0.03,0.12,0.06,0.05,0.03,0.02
